tuId	tuName	operonName	tuGenes	pmName	tuEvidence	addEvidence	confidenceLevel	pmids
RDBECOLITUC00788	rpnE-ypaA	rpnE-ypaA	ypaA;rpnE;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00789	yfaVU	yfaX-rhmD	yfaV;yfaU;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00790	yfaX-rhmD	yfaX-rhmD	yfaX;rhmD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00791	yfaY	yfaY	yfaY;	yfaYp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00792	yfaZ	yfaZ	yfaZ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00793	arnBCADTEF	arnBCADTEF	arnF;arnE;arnT;arnD;arnA;arnC;arnB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00794	pmrD	pmrD	pmrD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00795	elaB	elaB	elaB;	elaBp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00796	elaA	elaA	elaA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00797	rbn	rbn	rbn;	rbnp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00798	elaD	elaD	elaD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00799	yfbL	yfbL	yfbL;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00800	yfbM	yfbM	yfbM;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00801	yfbO	yfbO	yfbO;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00802	yfbP	yfbP	yfbP;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00803	alaA	alaA-yfbR	alaA;	alaAp9	[COMP-AINF:W]		WEAK	
RDBECOLITUC00804	yfbR	alaA-yfbR	yfbR;	yfbRp3	[COMP-AINF:W]		WEAK	
RDBECOLITUC00805	yfbS	yfbS	yfbS;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00806	yfbU-hxpA	yfbU-hxpA	yfbU;hxpA;	yfbUp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00807	yfbV	yfbV	yfbV;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00808	yfcC	yfcC	yfcC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00809	yfcD	yfcD	yfcD;	yfcDp	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00810	yfcE	yfcE	yfcE;	yfcEp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00811	yfcF	yfcF	yfcF;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00812	yfcG	yfcG	yfcG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00813	folX-yfcH	folX-yfcH	yfcH;folX;	folXp	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00814	rpnB	rpnB	rpnB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00815	folC-dedD	folC-dedD	folC;dedD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00816	yfcJ	yfcJ	yfcJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00817	prmB-aroC-mepA-yfcA-epmC-yfcL	prmB-aroC-mepA-yfcA-epmC-yfcL	prmB;aroC;mepA;yfcA;epmC;yfcL;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00818	yfcUSRQPO	yfcUSRQPO	yfcU;yfcS;yfcR;yfcQ;yfcP;yfcO;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00819	yfcV	yfcV	yfcV;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00820	yfcZ	yfcZ	yfcZ;	yfcZp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00821	yfdF	yfdF	yfdF;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00822	yfdC	yfdC	yfdC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00823	intS	intS	intS;	intSp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00824	yfdGHI	yfdGHI	yfdI;yfdH;yfdG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00825	tfaS	tfaS	tfaS;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00826	yfdONMLK	yfdONMLK	yfdO;yfdN;yfdM;yfdL;yfdK;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00827	yfdPQ	yfdPQ	yfdQ;yfdP;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00828	yfdRST	yfdRST	yfdT;yfdS;yfdR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00829	ypdJ	ypdJ	ypdJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00830	torI	torI	torI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00831	yfdE	yfdV	yfdE;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00832	yfdV	yfdV	yfdV;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00833	oxc	yfdV	oxc;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00834	tpke70	tpke70	tpke70;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00835	alaC	alaC	alaC;	alaCp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00836	pyrSR-ypdC	pyrSR-ypdC	ypdC;pyrR;pyrS;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00837	fryBC-ypdFE-fryA	fryBC-ypdFE-fryA	fryB;fryC;ypdF;ypdE;fryA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00838	yfeO	yfeO	yfeO;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00839	ypeC	ypeC	ypeC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00840	insL3	insL3	insL3;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00841	pdeA	pdeA	pdeA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00842	ligA-ypeB	ligA-ypeB	ligA;ypeB;	ligAp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00843	zipA	zipA	zipA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00844	cysZ	cysZ	cysZ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00845	ucpA	ucpA	ucpA;	ucpAp1	[COMP-AINF:W]		WEAK	
RDBECOLITUC00846	murR	murR	murR;	murRp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00847	murQP-yfeW	murQP-yfeW	yfeW;murP;murQ;		[EXP-IEP-COREGULATION:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00848	ypeA-yfeZ	ypeA-yfeZ	ypeA;yfeZ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00849	eutBCLKR	eutBCLKR	eutB;eutC;eutL;eutK;eutR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00850	intZ	intZ	intZ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00851	yffL	yffL	yffL;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00852	yffMN	yffMN	yffN;yffM;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00853	yffQR	yffQR	yffR;yffQ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00854	yffS	yffS	yffS;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00855	eutHA	eutHA	eutH;eutA;		[EXP-IEP-COREGULATION:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00856	eutNEJG	eutNEJG	eutN;eutE;eutJ;eutG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00857	eutSPQTDM	eutSPQTDM	eutS;eutP;eutQ;eutT;eutD;eutM;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00858	maeB	maeB	maeB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00859	ypfG	ypfG	ypfG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00860	nudK	nudK	nudK;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00861	aegA	aegA	aegA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00862	narQ	narQ	narQ;	narQp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00863	yffB-dapE-ypfN	yffB-dapE-ypfN	ypfN;dapE;yffB;	yffBp	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00864	ypfH	ypfH	ypfH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00865	ypfJ-tmcA	ypfJ-tmcA	ypfJ;tmcA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00866	hda	hda	hda;	hdap	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00867	yfgG	yfgG	yfgG;	yfgGp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00868	yfgHI	yfgHI	yfgI;yfgH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00869	yfgJ	yfgJ	yfgJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00870	rlmN	rlmN	rlmN;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00871	ndk	ndk	ndk;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00872	yfhM-pbpC	yfhM-pbpC	yfhM;pbpC;	yfhMp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00873	ryfA-timP	ryfA-timP	timP;ryfA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00874	sseB	sseB	sseB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00875	pepB	pepB	pepB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00876	trmJ	trmJ	trmJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00877	suhB	suhB	suhB;		[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		STRONG	
RDBECOLITUC00878	yfhR	yfhR	yfhR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00879	hcaT	hcaT	hcaT;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00880	yphA	yphA	yphA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00881	yphCB	yphCB	yphC;yphB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00882	yphFED	yphFED	yphF;yphE;yphD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00883	yphG	yphG	yphG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00884	glmY	glmY	glmY;	glmYp1	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		STRONG	
RDBECOLITUC00885	pgpC-tadA	pgpC-tadA	pgpC;tadA;	pgpCp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00886	yfhH	yfhH	yfhH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00887	yfhL	yfhL	yfhL;	yfhLp	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00888	tapT-patZ	tapT-patZ	patZ;tapT;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00889	pssLA	pssLA	pssL;pssA;	pssAp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00890	yfiM	yfiM	yfiM;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00891	kgtP	kgtP	kgtP;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00892	rluD-pgeF	rluD-pgeF	rluD;yfiH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00893	raiAZ	raiAZ	raiZ;raiA;	raiAp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00894	yfiL	yfiL	yfiL;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00895	yfiR-dgcN-yfiB	yfiR-dgcN-yfiB	yfiB;dgcN;yfiR;	yfiRp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00896	ffh	ffh	ffh;	ffhp	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00897	ypjD	ypjD	ypjD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00898	yfjD	yfjD	yfjD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00899	nadK	nadK	nadK;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00900	ratA-yfjF	ratA-yfjF	ratA;yfjF;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00901	smpB	smpB	smpB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00902	intA	intA	intA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00903	alpA	alpA	alpA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00904	yfjI	yfjI	yfjI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00905	yfjJ	yfjJ	yfjJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00906	abpAB	abpAB	abpA;abpB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00907	yfjM	yfjM	yfjM;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00908	yfjPQ	yfjPQ	yfjQ;yfjP;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00909	yfjR-ypjK-yfjS-yfjT	yfjR-ypjK-yfjS-yfjT	yfjT;yfjS;ypjK;yfjR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00910	yfjU	yfjU	yfjU;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00911	yfjV	yfjV	yfjV;	yfjVp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00912	yfjW	yfjW	yfjW;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00913	yfjXY-ypjJ-yfjZ-ypjF	yfjXY-ypjJ-yfjZ-ypjF	ypjF;yfjZ;ypjJ;yfjY;yfjX;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00914	ypjA	ypjA	ypjA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00915	pinH	pinH	pinH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00916	ypjB	ypjB	ypjB;	ypjBp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00917	ypjC	ypjC	ypjC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00918	ileY	ileY	ileY;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00919	ygaQ	ygaQ	ygaQ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00920	kbp	yqaE-kbp	kbp;	kbpp4	[COMP-AINF:W]		WEAK	
RDBECOLITUC00921	yqaE	yqaE-kbp	yqaE;	yqaEp	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		STRONG	
RDBECOLITUC00922	ygaVP	ygaVP	ygaP;ygaV;		[EXP-IEP-COREGULATION:W][IC-ADJ-GENES-SAME-BIO-PROCESS:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00923	ygaM	ygaM	ygaM;	ygaMp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00924	ygaY	ygaY	ygaY;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00925	ygaZH	ygaZH	ygaH;ygaZ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00926	gshA	gshA	gshA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00927	yqaBA	yqaBA	yqaB;yqaA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00928		csrA	csrA;	csrAp3	[COMP-AINF:W]		WEAK	
RDBECOLITUC00929	pncC	pncC	pncC;	pncCp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00930	mltB	mltB	mltB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00931	pphB	pphB	pphB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00932	ygbJK	ygbJK	ygbK;ygbJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00933	ygbLM	ygbLM	ygbM;ygbL;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00934	ygbN	ygbN	ygbN;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00935	ygbE	ygbE	ygbE;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00936	casABCDE12	casDE-ygbTF	casA;casB;casC;casD;casE;cas1;cas2;	casAp	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		STRONG	
RDBECOLITUC00937	cas3	cas3	cas3;	cas3p	[COMP-AINF:W]		WEAK	
RDBECOLITUC00938	queD	queD	queD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00939	ygcNOP	ygcNOP	ygcP;ygcO;ygcN;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00940	ygcRQ	ygcRQ	ygcR;ygcQ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00941	ygcS	ygcS	ygcS;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00942	ygcU	ygcU	ygcU;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00943	ygcW	ygcW	ygcW;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00944	yqcE-ygcE	yqcE-ygcE	ygcE;yqcE;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00945	rlmD	rlmD	rlmD;	rlmDp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00946	yqcC-truC-yqcA	yqcC-truC-yqcA	yqcC;truC;yqcA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00947	syd	syd	syd;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00948	queF	queF	queF;	queFp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00949	ppnN	ppnN	ppnN;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00950	ygdG	ygdG	ygdG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00951	csdAE	csdAE	csdE;csdA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00952	tcdA	tcdA	tcdA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00953	mltA	mltA	mltA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00954	ptrA-recBD	ptrA-recBD	ptrA;recB;recD;	ptrAp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00955	ppdAB-ygdB-ppdC-recC	ppdAB-ygdB-ppdC-recC	ppdA;ppdB;ygdB;ppdC;recC;	ppdAp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00956	rppH-ptsP	rppH-ptsP	rppH;ptsP;	rppHp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00957	mutH	mutH	mutH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00958	ygdQ	ygdQ	ygdQ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00959	ygdR	ygdR	ygdR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00960	tas	tas	tas;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00961	aas-lplT	aas-lplT	aas;lplT;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00962	ygeA	araE-ygeA	ygeA;		[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		STRONG	
RDBECOLITUC00963	kduD	kduD	kduD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00964	kduI	kduI	kduI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00965	yqeF	yqeF	yqeF;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00966	yqeG	yqeG	yqeG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00967	yqeH	yqeH	yqeH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00968	yqeIJ	yqeIJ	yqeJ;yqeI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00969	ygeF	ygeF	ygeF;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00970	ygeG	ygeG	ygeG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00971	ygeH	ygeH	ygeH;	ygeHp10	[COMP-AINF:W]		WEAK	
RDBECOLITUC00972	ygeI	ygeI	ygeI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00973	pbl	pbl	pbl;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00974	ygeLK	ygeLK	ygeL;ygeK;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00975	insC4D4CD4-ygeON	insC4D4CD4-ygeON	insC4;insD4;insCD4;ygeO;ygeN;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00976	ygeP	ygeP	ygeP;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00977	ygeQ	ygeQ	ygeQ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00978	glyU	glyU	glyU;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00979	ygeR	ygeR	actS;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00980	ygeW	ygeW	ygeW;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00981	ygeX	ygeX	ygeX;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00982	ygeY	ygeY	ygeY;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00983	hyuA	hyuA	hyuA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00984	yqeA	yqeA	yqeA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00985	yqeB	yqeB	yqeB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00986	yqeC	yqeC	yqeC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00987	mocA	mocA	mocA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00988	ygfK-ssnA	ygfK-ssnA	ssnA;ygfK;	ygfKp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00989	ygfM-xdhD	ygfM-xdhD	xdhD;ygfM;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00990	xanQ-guaD-ghxQ	xanQ-guaD-ghxQ	ghxQ;guaD;xanQ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00991	ygfTS	ygfTS	ygfT;ygfS;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00992	uacT	uacT	uacT;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00993	idi	idi	idi;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00994	xerD	dsbC-recJ-prfB	xerD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00995	sdhE-ygfX	sdhE-ygfX	sdhE;ygfX;	sdhEp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00996	yqfA	yqfA	trhA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00997	yqfB	yqfB	yqfB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00998	ygfF	ygfF	ygfF;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00999	ygfB-pepP-ubiHI	ygfB-pepP-ubiHI	ygfB;pepP;ubiH;ubiI;	ygfBp	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]		WEAK	
RDBECOLITUC01000	zapA	zapA	zapA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01001	ssrS-ygfA	ssrS-ygfA	fau;ssrS;	ssrSp1	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]		STRONG	
RDBECOLITUC01002	yqfE	yqfE	yqfE;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01003	ygfI	ygfI	srsR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01004	argO	argO	argO;	argOp	[COMP-AINF:W]		WEAK	
RDBECOLITUC01005	mscS	mscS	mscS;	mscSp	[COMP-AINF:W]		WEAK	
RDBECOLITUC01006	cmtBA-yggPF-fumE-yggC	cmtBA-yggPF-fumE-yggC	cmtB;cmtA;yggP;yggF;fumE;yggC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01007	tktA	tktA	tktA;	tktAp	[COMP-AINF:W]		WEAK	
RDBECOLITUC01008	yggI	yggI	yggI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01009	rsmE-gshB	rsmE-gshB	gshB;rsmE;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01010	yqgEF	yqgEF	yqgF;yqgE;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01011	yggSTU-rdgB-hemW	yggSTU-rdgB-hemW	hemW;rdgB;yggU;yggT;yggS;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01012	yggM	yggM	yggM;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01013	trmB-yggL	trmB-yggL	trmB;yggL;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01014	yqgA	yqgA	yqgA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01015	yghED	yghED	yghE;yghD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01016	yghG	yghG	yghG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01017	pppA	pppA	pppA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01018	yghJ	yghJ	yghJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01019	yghQ	yghQ	yghQ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01020	yghSR	yghSR	yghS;yghR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01021	pitB	pitB	pitB;	pitBp	[EXP-IMP:W][COMP-AINF:W]		WEAK	
RDBECOLITUC01022	gss	gss	gss;	gssp	[COMP-AINF:W]		WEAK	
RDBECOLITUC01023	yghW	yghW	yghW;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01024	yghX	yghX	yghX;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01025	yghB	yghB	yghB;	yghBp	[COMP-AINF:W]		WEAK	
RDBECOLITUC01026	yqhD-dkgA	yqhD-dkgA	dkgA;yqhD;	yqhDp	[EXP-IDA:W][IC-ADJ-GENES-SAME-BIO-PROCESS:W]		WEAK	
RDBECOLITUC01027		yqhD-dkgA	dkgA;	dkgAp	[COMP-AINF:W]		WEAK	
RDBECOLITUC01028	yqhG	yqhG	yqhG;	yqhGp	[COMP-AINF:W]		WEAK	
RDBECOLITUC01029	yqhH	yqhH	yqhH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01030	ygiQ	ygiQ	ygiQ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01031	ftsP	ftsP	ftsP;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01032	plsC	plsC	plsC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01033	parC	parC	parC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01034	ygiS	ygiS	ygiS;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01035	mqsRA	mqsRA	mqsR;mqsA;	mqsRp1	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		STRONG	
RDBECOLITUC01036	ygiV	ygiV	ygiV;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01037	ygiW	ygiW	ygiW;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01038	mdaB	mdaB	mdaB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01039	ygiN	ygiN	ygiN;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01040	nudF-yqiB-cpdA-yqiA-parE	nudF-yqiB-cpdA-yqiA-parE	nudF;yqiB;cpdA;yqiA;parE;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01041	tolC-ygiBC	tolC-ygiBC	ygiC;ygiB;tolC;	tolCp4	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]		STRONG	
RDBECOLITUC01042	sroG-ribB	sroG-ribB	sroG;ribB;	ribBp	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]		STRONG	
RDBECOLITUC01043	ubiK	ubiK	ubiK;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01044	ygiL	ygiL	ygiL;		[COMP-AINF:W]		WEAK	
RDBECOLITUC01045	insC5CD5D5-yqiHIG	insC5CD5D5-yqiHIG	yqiI;yqiH;yqiG;insD5;insC5;insCD5;	insC-5p	[EXP-IEP-COREGULATION:W][COMP-AINF:W]		WEAK	
